student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,math_score_outlier,math_score_capped
1712,16,other,private,no formal,4.1,70.8,no,>60 min,yes,online videos,46.8,64.4,70.5,60.1,d,False,46.8
1713,19,male,private,phd,6.7,57.3,yes,>60 min,no,online videos,77.1,83.5,80.6,78.1,c,False,77.1
1714,18,other,private,graduate,2.1,54.2,yes,<15 min,yes,group study,49.1,37.2,44.0,31.6,f,False,49.1
1715,17,other,public,phd,1.7,89.2,yes,15-30 min,no,group study,52.3,51.6,67.8,52.5,e,False,52.3
1716,19,male,public,graduate,0.5,80.6,yes,15-30 min,no,coaching,35.8,25.6,23.7,42.0,e,False,35.8
1717,17,female,public,diploma,5.0,62.6,yes,<15 min,no,textbook,81.5,75.8,79.3,74.5,c,False,81.5
1718,16,other,private,graduate,2.9,76.7,yes,30-60 min,yes,online videos,51.7,54.4,62.0,59.6,d,False,51.7
1719,16,male,public,no formal,5.5,97.3,yes,>60 min,yes,mixed,100.0,73.7,94.7,87.2,b,False,100.0
1720,17,male,private,diploma,5.7,74.7,yes,>60 min,no,mixed,66.8,49.9,83.8,67.7,d,False,66.8
1721,14,other,public,diploma,0.8,69.5,yes,15-30 min,no,coaching,45.4,36.5,37.1,38.8,f,False,45.4
1722,18,male,public,high school,3.6,65.4,yes,<15 min,no,textbook,41.6,46.0,52.3,58.7,d,False,41.6
1723,17,other,public,phd,7.8,59.1,yes,>60 min,yes,coaching,84.7,67.0,80.6,84.4,c,False,84.7
1724,18,other,private,phd,2.6,95.5,yes,30-60 min,no,online videos,57.5,77.4,52.0,68.5,d,False,57.5
1725,17,female,public,diploma,4.5,58.6,yes,>60 min,no,group study,51.3,65.5,76.2,54.3,e,False,51.3
1726,18,female,public,post graduate,4.5,52.7,yes,15-30 min,yes,mixed,65.3,71.0,79.8,63.2,d,False,65.3
1727,19,female,private,high school,2.5,57.1,yes,30-60 min,no,mixed,40.9,57.0,43.0,45.4,e,False,40.9
1728,17,female,private,phd,6.3,59.1,no,15-30 min,yes,group study,65.7,57.8,72.7,70.5,c,False,65.7
1729,16,female,private,post graduate,0.5,71.2,yes,<15 min,no,notes,54.5,38.8,30.1,40.6,e,False,54.5
1730,14,female,private,post graduate,2.2,95.5,yes,<15 min,no,mixed,28.8,51.4,44.8,51.4,e,False,28.8
1731,18,other,public,graduate,4.9,56.7,yes,>60 min,yes,mixed,61.9,57.8,63.0,54.3,e,False,61.9
1732,19,other,public,post graduate,7.4,57.3,yes,<15 min,yes,coaching,88.4,91.3,94.5,90.7,b,False,88.4
1733,18,other,public,graduate,0.6,71.9,yes,>60 min,yes,textbook,24.3,14.5,34.5,31.0,f,False,24.3
1734,19,male,public,phd,5.0,95.2,yes,>60 min,no,textbook,67.6,66.8,71.8,73.1,c,False,67.6
1735,19,male,private,graduate,0.5,96.4,yes,>60 min,no,notes,40.6,38.9,45.3,38.1,f,False,40.6
1736,18,other,public,diploma,5.2,97.5,yes,>60 min,no,online videos,78.3,69.0,53.8,73.3,c,False,78.3
1737,17,female,private,high school,3.6,56.3,yes,>60 min,no,group study,50.3,63.2,59.7,56.6,d,False,50.3
1738,14,female,public,phd,3.8,85.3,yes,<15 min,yes,notes,62.7,64.5,78.8,60.1,d,False,62.7
1739,14,male,public,no formal,7.8,82.4,yes,15-30 min,yes,notes,65.4,100.0,94.0,85.6,b,False,65.4
1740,15,male,private,no formal,5.6,51.5,yes,30-60 min,yes,mixed,85.0,80.8,60.4,75.3,c,False,85.0
1741,16,male,public,no formal,2.0,83.6,yes,15-30 min,yes,notes,55.7,65.4,56.9,53.6,e,False,55.7
1742,18,female,public,no formal,8.0,84.8,yes,15-30 min,no,textbook,74.0,80.8,84.4,88.6,b,False,74.0
1743,16,female,public,high school,2.4,82.8,yes,>60 min,yes,mixed,72.8,76.4,76.7,61.6,d,False,72.8
1744,14,female,private,diploma,5.6,60.8,yes,<15 min,no,textbook,80.6,89.9,77.6,77.0,c,False,80.6
1745,15,male,private,high school,5.6,66.6,yes,15-30 min,yes,group study,75.1,70.6,94.7,73.0,c,False,75.1
1746,19,male,public,diploma,6.9,77.7,yes,15-30 min,yes,textbook,78.4,82.7,100.0,86.9,b,False,78.4
1747,19,other,private,diploma,3.5,56.9,yes,<15 min,no,notes,37.3,46.3,54.0,49.3,e,False,37.3
1748,16,female,private,diploma,5.7,57.9,yes,<15 min,yes,mixed,63.6,56.1,73.5,71.7,c,False,63.6
1749,18,male,private,no formal,5.2,84.9,yes,>60 min,no,group study,95.1,57.9,80.6,67.0,d,False,95.1
1750,18,female,private,graduate,3.8,58.3,yes,15-30 min,yes,group study,58.3,67.1,55.2,62.2,d,False,58.3
1751,19,female,private,high school,7.4,50.8,yes,<15 min,no,textbook,76.5,82.0,73.7,69.8,d,False,76.5
1752,19,female,private,graduate,2.4,59.3,no,<15 min,no,textbook,41.5,42.4,31.4,34.0,f,False,41.5
1753,17,male,public,no formal,2.2,53.8,yes,15-30 min,yes,mixed,63.9,36.2,40.8,46.1,e,False,63.9
1754,16,other,private,phd,5.2,64.1,yes,15-30 min,yes,coaching,75.6,82.8,79.8,70.7,c,False,75.6
1755,17,male,private,post graduate,1.9,88.0,yes,15-30 min,no,group study,36.7,59.0,50.0,49.1,e,False,36.7
1756,15,other,private,diploma,6.7,89.3,yes,15-30 min,yes,mixed,79.8,86.5,100.0,83.8,c,False,79.8
1757,16,female,private,diploma,3.0,53.6,yes,<15 min,yes,group study,38.7,59.1,40.3,46.4,e,False,38.7
1758,17,female,private,high school,3.7,78.5,yes,<15 min,no,coaching,69.3,88.9,54.7,64.9,d,False,69.3
1759,17,female,private,phd,5.6,54.4,yes,>60 min,yes,coaching,67.7,57.6,59.3,59.6,d,False,67.7
1760,17,female,private,post graduate,7.1,59.4,yes,30-60 min,yes,textbook,95.4,83.5,92.5,87.2,b,False,95.4
1761,16,female,public,diploma,5.7,89.2,yes,<15 min,no,group study,81.2,67.3,71.0,72.7,c,False,81.2
1762,16,female,public,graduate,1.2,98.6,yes,30-60 min,yes,online videos,77.5,51.6,61.9,55.4,d,False,77.5
1763,14,male,private,no formal,3.0,63.6,yes,15-30 min,yes,mixed,62.4,60.7,43.6,52.2,e,False,62.4
1764,17,female,public,post graduate,6.1,88.8,yes,30-60 min,no,group study,64.4,64.0,86.9,78.9,c,False,64.4
1765,17,male,private,graduate,7.3,67.1,yes,30-60 min,yes,notes,76.1,67.8,73.0,82.8,c,False,76.1
1766,19,male,public,high school,5.3,89.2,yes,>60 min,no,textbook,97.5,84.3,65.1,80.2,c,False,97.5
1767,17,other,public,post graduate,5.0,78.5,yes,<15 min,yes,mixed,62.1,64.8,48.8,66.4,d,False,62.1
1768,16,male,private,no formal,3.3,77.3,no,15-30 min,yes,coaching,56.6,64.8,68.5,54.0,e,False,56.6
1769,14,female,private,diploma,4.1,90.4,yes,30-60 min,no,group study,68.5,60.3,80.2,74.0,c,False,68.5
1770,15,male,private,phd,3.7,84.8,yes,30-60 min,no,online videos,41.5,50.1,60.5,54.5,e,False,41.5
1771,16,female,public,post graduate,0.9,98.5,yes,15-30 min,yes,online videos,53.6,48.1,47.0,50.3,e,False,53.6
1772,16,female,private,no formal,0.7,68.1,no,>60 min,no,mixed,41.9,37.0,37.9,29.9,f,False,41.9
1773,16,male,public,graduate,5.1,97.8,yes,15-30 min,yes,textbook,72.9,73.5,67.2,74.9,c,False,72.9
1774,16,other,private,post graduate,4.3,91.4,yes,15-30 min,yes,notes,44.9,58.3,58.5,66.9,d,False,44.9
1775,18,male,public,graduate,2.3,74.7,yes,15-30 min,no,notes,54.5,60.2,57.6,56.2,d,False,54.5
1776,14,female,public,high school,7.2,75.0,yes,30-60 min,no,textbook,92.4,94.9,99.0,94.8,b,False,92.4
1777,15,female,private,post graduate,2.0,95.1,yes,<15 min,yes,online videos,54.1,49.0,46.2,54.2,e,False,54.1
1778,14,female,private,diploma,5.8,79.4,yes,30-60 min,yes,coaching,67.1,60.1,83.1,72.7,c,False,67.1
1779,15,female,private,phd,6.4,66.9,no,15-30 min,yes,textbook,70.2,95.1,75.0,85.7,b,False,70.2
1780,18,female,public,phd,6.8,52.1,yes,15-30 min,yes,mixed,62.1,66.9,70.3,70.1,c,False,62.1
1781,14,male,private,phd,6.8,65.0,yes,30-60 min,yes,coaching,70.5,80.0,86.6,80.1,c,False,70.5
1782,16,other,public,diploma,6.5,60.9,no,30-60 min,yes,group study,84.1,81.8,57.4,76.1,c,False,84.1
1783,14,male,private,post graduate,3.9,56.5,yes,>60 min,no,mixed,56.3,46.2,53.9,55.9,d,False,56.3
1784,19,female,private,no formal,5.2,83.6,yes,<15 min,no,group study,85.3,84.2,84.3,77.9,c,False,85.3
1785,18,female,private,post graduate,6.9,69.8,yes,30-60 min,yes,coaching,83.4,94.1,89.7,86.8,b,False,83.4
1786,15,female,public,post graduate,3.7,54.7,yes,<15 min,no,online videos,50.9,49.4,60.1,56.6,d,False,50.9
1787,15,male,private,post graduate,5.5,66.3,yes,15-30 min,yes,online videos,63.0,62.2,57.0,66.6,d,False,63.0
1788,14,other,private,no formal,1.7,57.0,yes,>60 min,no,coaching,35.0,34.8,38.6,43.2,e,False,35.0
1789,16,female,public,diploma,4.7,79.9,yes,30-60 min,no,group study,77.4,68.7,80.7,71.6,c,False,77.4
1790,18,male,private,high school,1.6,71.3,yes,>60 min,no,group study,32.6,56.5,67.2,50.9,e,False,32.6
1791,17,male,public,phd,5.5,96.7,no,30-60 min,no,notes,80.7,70.7,72.1,83.8,c,False,80.7
1792,19,female,private,graduate,3.3,80.4,yes,>60 min,yes,textbook,61.0,64.8,62.0,64.8,d,False,61.0
1793,16,female,public,graduate,2.2,88.3,yes,<15 min,no,mixed,42.2,47.3,28.0,45.0,e,False,42.2
1794,15,female,public,diploma,3.2,66.8,yes,30-60 min,no,notes,47.3,47.9,44.1,43.1,e,False,47.3
1795,16,other,public,no formal,5.8,87.7,yes,>60 min,no,coaching,57.8,62.9,77.9,75.3,c,False,57.8
1796,15,other,public,graduate,7.3,86.7,yes,<15 min,yes,mixed,92.0,82.2,87.3,88.0,b,False,92.0
1797,19,other,public,graduate,0.6,99.5,yes,<15 min,yes,coaching,53.2,50.7,58.9,51.6,e,False,53.2
1798,15,other,public,diploma,1.8,83.1,yes,30-60 min,no,group study,47.2,34.9,22.9,42.9,e,False,47.2
1799,16,other,public,graduate,5.8,95.8,yes,>60 min,no,group study,82.2,61.3,76.1,77.3,c,False,82.2
1800,17,other,public,diploma,4.8,93.3,no,>60 min,no,group study,65.2,79.1,73.9,67.5,d,False,65.2
1801,14,female,public,graduate,2.9,95.9,yes,30-60 min,yes,notes,55.2,50.3,72.4,53.7,e,False,55.2
1802,16,female,public,diploma,5.4,78.7,yes,>60 min,yes,online videos,91.5,75.1,79.4,77.9,c,False,91.5
1803,16,female,private,post graduate,7.0,61.2,yes,15-30 min,yes,textbook,60.4,78.2,82.8,77.9,c,False,60.4
1804,15,male,public,phd,2.4,79.3,no,>60 min,yes,notes,59.2,57.3,28.5,44.7,e,False,59.2
1805,14,other,private,diploma,4.1,96.1,yes,<15 min,yes,mixed,84.1,70.9,49.9,61.9,d,False,84.1
1806,14,female,private,no formal,0.7,98.7,yes,30-60 min,yes,mixed,62.8,57.2,70.6,54.0,e,False,62.8
1807,14,female,public,post graduate,7.6,97.3,yes,15-30 min,no,notes,90.4,74.4,95.3,92.5,b,False,90.4
1808,16,other,private,phd,6.5,72.1,yes,30-60 min,yes,textbook,81.8,98.7,81.8,81.7,c,False,81.8
1809,14,other,private,post graduate,4.3,90.2,yes,>60 min,yes,coaching,81.5,71.1,68.2,71.2,c,False,81.5
1810,19,other,private,diploma,7.9,74.4,no,15-30 min,no,textbook,99.1,71.2,93.9,91.1,b,False,99.1
1811,15,other,public,graduate,2.2,84.6,yes,<15 min,no,coaching,57.7,62.8,39.7,53.9,e,False,57.7
1812,17,other,public,diploma,6.1,71.6,yes,30-60 min,yes,group study,64.2,64.3,86.1,74.3,c,False,64.2
1813,18,male,private,post graduate,6.3,65.1,yes,<15 min,no,notes,83.7,61.5,70.7,68.9,d,False,83.7
1814,16,male,private,post graduate,6.7,72.1,yes,15-30 min,yes,online videos,85.1,70.1,61.5,78.4,c,False,85.1
1815,19,male,public,graduate,5.6,65.3,yes,<15 min,no,coaching,85.1,55.1,83.0,80.5,c,False,85.1
1816,14,other,public,diploma,1.9,71.2,no,15-30 min,yes,group study,58.1,43.6,39.1,47.4,e,False,58.1
1817,15,other,public,high school,1.2,83.9,yes,30-60 min,yes,textbook,38.5,49.1,53.4,39.4,f,False,38.5
1818,15,other,public,graduate,1.9,60.0,yes,30-60 min,yes,notes,36.3,31.9,25.1,32.4,f,False,36.3
1819,14,other,public,diploma,6.9,83.8,yes,<15 min,yes,notes,86.6,86.2,90.2,91.6,b,False,86.6
1820,15,other,public,phd,3.5,53.7,yes,>60 min,yes,online videos,44.8,40.1,46.8,46.7,e,False,44.8
1821,15,other,private,no formal,4.6,50.1,yes,<15 min,yes,group study,57.8,47.6,58.9,51.6,e,False,57.8
1822,18,other,private,phd,0.7,61.7,yes,<15 min,no,online videos,30.0,16.7,45.9,29.1,f,False,30.0
1823,15,male,private,post graduate,4.2,60.1,yes,30-60 min,yes,group study,54.9,57.3,54.4,53.1,e,False,54.9
1824,19,female,private,graduate,3.6,91.7,no,<15 min,no,coaching,59.6,69.8,68.2,61.6,d,False,59.6
1825,18,female,private,phd,4.5,87.8,yes,>60 min,yes,notes,48.2,75.1,58.6,66.4,d,False,48.2
1826,19,female,public,post graduate,3.3,83.3,yes,<15 min,yes,online videos,75.3,69.1,60.7,62.3,d,False,75.3
1827,14,female,private,no formal,1.1,85.3,yes,15-30 min,no,textbook,41.7,54.4,53.0,49.8,e,False,41.7
1828,19,male,private,diploma,0.8,83.1,yes,30-60 min,no,mixed,49.9,37.7,39.3,40.9,e,False,49.9
1829,17,male,public,phd,7.6,91.3,yes,>60 min,no,coaching,100.0,100.0,100.0,100.0,a,False,100.0
1830,19,male,private,post graduate,5.0,76.7,yes,>60 min,no,online videos,78.2,76.6,66.9,73.7,c,False,78.2
1831,16,male,public,no formal,5.3,50.9,yes,30-60 min,yes,coaching,62.4,48.7,63.3,64.4,d,False,62.4
1832,19,other,public,high school,7.4,93.2,yes,>60 min,yes,online videos,96.3,94.5,90.7,100.0,a,False,96.3
1833,17,female,public,phd,4.6,73.5,yes,30-60 min,yes,notes,62.2,76.0,80.1,71.8,c,False,62.2
1834,14,other,private,no formal,5.1,96.4,yes,15-30 min,no,group study,86.3,76.0,76.5,73.1,c,False,86.3
1835,16,other,public,phd,4.4,94.7,yes,<15 min,no,notes,82.5,68.5,86.0,74.9,c,False,82.5
1836,14,other,public,graduate,1.8,70.0,yes,30-60 min,no,textbook,39.6,31.9,30.0,34.8,f,False,39.6
1837,19,male,private,post graduate,2.8,96.7,yes,>60 min,no,notes,58.9,47.6,78.0,51.1,e,False,58.9
1838,15,female,public,high school,7.1,52.9,yes,<15 min,no,coaching,80.8,76.7,79.5,76.4,c,False,80.8
1839,15,male,public,diploma,3.8,83.1,yes,30-60 min,yes,notes,47.7,68.8,65.6,59.0,d,False,47.7
1840,17,male,private,post graduate,2.0,84.1,yes,15-30 min,yes,mixed,64.2,74.8,67.7,58.1,d,False,64.2
1841,16,male,public,no formal,6.7,92.0,no,>60 min,no,mixed,94.0,100.0,98.1,98.1,a,False,94.0
1842,14,male,public,no formal,1.2,73.6,yes,30-60 min,no,notes,47.6,20.5,42.6,42.2,e,False,47.6
1843,18,male,public,graduate,5.3,62.0,yes,>60 min,yes,online videos,51.5,47.8,56.9,57.8,d,False,51.5
1844,19,other,private,no formal,5.8,52.2,yes,>60 min,yes,notes,38.8,58.7,67.6,59.4,d,False,38.8
1845,18,female,private,phd,2.8,73.4,yes,15-30 min,yes,mixed,42.5,59.7,43.2,46.9,e,False,42.5
1846,17,female,public,post graduate,1.8,72.7,no,30-60 min,no,mixed,41.8,60.9,49.2,46.5,e,False,41.8
1847,16,female,public,post graduate,3.9,67.8,yes,<15 min,no,textbook,73.4,71.7,67.6,59.2,d,False,73.4
1848,17,other,private,graduate,6.2,81.8,yes,>60 min,no,online videos,81.7,68.5,80.5,74.0,c,False,81.7
1849,17,male,private,graduate,7.2,76.6,yes,15-30 min,no,coaching,100.0,90.2,68.7,92.7,b,False,100.0
1850,14,female,private,phd,6.6,55.8,yes,15-30 min,no,coaching,67.1,75.8,66.7,66.0,d,False,67.1
1851,14,male,public,no formal,1.3,52.4,yes,>60 min,no,online videos,34.9,12.6,27.8,35.8,f,False,34.9
1852,15,female,private,high school,2.2,94.5,yes,<15 min,no,mixed,63.1,57.8,62.1,64.3,d,False,63.1
1853,16,female,public,post graduate,5.1,87.1,yes,>60 min,no,mixed,73.4,88.6,83.0,73.1,c,False,73.4
1854,14,other,private,no formal,5.8,73.2,yes,30-60 min,yes,notes,83.6,86.1,100.0,82.2,c,False,83.6
1855,14,female,private,high school,0.6,74.8,yes,<15 min,no,coaching,38.0,43.4,35.5,44.4,e,False,38.0
1856,19,male,private,no formal,1.6,55.7,yes,>60 min,no,group study,25.3,29.4,20.1,27.1,f,False,25.3
1857,16,female,public,no formal,1.2,63.2,yes,>60 min,yes,mixed,21.1,47.3,28.4,26.7,f,False,21.1
1858,17,other,public,diploma,3.1,91.2,yes,>60 min,yes,coaching,61.7,65.2,63.5,61.3,d,False,61.7
1859,17,female,public,graduate,5.6,56.3,yes,>60 min,no,online videos,94.2,86.3,67.1,76.7,c,False,94.2
1860,18,female,public,no formal,7.6,55.2,yes,>60 min,no,coaching,98.4,97.0,93.5,86.1,b,False,98.4
1861,18,male,public,phd,1.2,77.9,yes,<15 min,no,group study,66.4,62.5,26.6,35.2,f,False,66.4
1862,15,male,private,post graduate,4.3,92.0,yes,30-60 min,yes,online videos,69.6,67.5,52.3,67.6,d,False,69.6
1863,19,male,private,graduate,3.3,69.0,yes,30-60 min,no,group study,58.4,49.5,34.0,44.9,e,False,58.4
1864,16,male,public,no formal,3.5,82.3,yes,>60 min,yes,mixed,52.6,62.0,62.7,54.7,e,False,52.6
1865,19,female,public,graduate,1.0,95.1,no,15-30 min,no,mixed,57.7,42.2,49.8,51.7,e,False,57.7
1866,16,other,public,phd,2.7,94.6,yes,30-60 min,yes,textbook,67.4,87.1,47.6,69.2,d,False,67.4
1867,14,female,private,high school,2.4,73.4,yes,<15 min,yes,group study,79.5,54.3,61.6,57.0,d,False,79.5
1868,18,female,private,graduate,5.9,64.8,yes,15-30 min,yes,notes,68.7,59.8,69.9,68.7,d,False,68.7
1869,14,other,public,graduate,5.3,78.7,yes,<15 min,no,group study,76.9,85.1,94.1,82.4,c,False,76.9
1870,18,other,public,post graduate,5.3,96.2,yes,30-60 min,no,notes,78.5,62.0,76.4,75.1,c,False,78.5
1871,14,female,private,phd,4.4,84.0,yes,<15 min,yes,group study,59.1,59.7,65.6,63.3,d,False,59.1
1872,15,other,public,no formal,3.1,97.8,yes,30-60 min,yes,mixed,77.9,60.5,53.3,56.5,d,False,77.9
1873,17,male,public,no formal,2.3,79.0,yes,30-60 min,yes,textbook,58.3,37.4,49.2,54.2,e,False,58.3
1874,19,female,private,no formal,0.6,51.1,no,30-60 min,no,mixed,41.8,22.4,10.5,20.3,f,False,41.8
1875,16,female,public,high school,1.6,72.4,no,<15 min,no,group study,44.4,29.4,29.6,41.3,e,False,44.4
1876,14,other,private,diploma,2.1,95.2,yes,15-30 min,no,group study,54.5,52.8,55.0,51.4,e,False,54.5
1877,15,female,private,phd,7.8,51.7,yes,15-30 min,yes,online videos,79.0,77.5,65.5,75.5,c,False,79.0
1878,19,other,private,graduate,7.8,80.9,yes,>60 min,no,group study,91.9,88.2,86.1,88.5,b,False,91.9
1879,18,male,public,post graduate,6.3,68.9,no,15-30 min,no,mixed,78.5,70.7,87.4,71.1,c,False,78.5
1880,14,male,public,graduate,5.1,70.2,yes,>60 min,no,notes,69.1,75.5,71.4,63.4,d,False,69.1
1881,16,other,private,phd,5.5,78.4,yes,<15 min,yes,textbook,65.5,52.6,75.9,72.3,c,False,65.5
1882,15,other,public,high school,5.0,70.6,yes,>60 min,yes,notes,69.6,67.0,72.5,68.4,d,False,69.6
1883,15,other,private,post graduate,5.4,96.0,yes,>60 min,yes,coaching,74.0,81.5,69.6,75.9,c,False,74.0
1884,19,male,private,high school,2.1,65.2,yes,<15 min,yes,group study,41.9,63.9,37.7,46.0,e,False,41.9
1885,17,male,public,high school,7.8,88.0,yes,30-60 min,no,coaching,77.8,87.0,100.0,92.8,b,False,77.8
1886,15,male,public,phd,6.2,54.6,yes,15-30 min,yes,mixed,52.7,65.5,73.1,65.4,d,False,52.7
1887,17,female,private,no formal,2.3,66.6,yes,<15 min,no,group study,50.1,67.2,35.0,52.9,e,False,50.1
1888,16,female,private,high school,4.4,57.9,no,>60 min,no,notes,50.7,51.2,52.8,53.1,e,False,50.7
1889,14,other,private,diploma,6.4,61.0,yes,>60 min,no,online videos,86.6,82.5,64.3,71.7,c,False,86.6
1890,16,other,public,no formal,7.3,78.2,yes,>60 min,no,notes,84.1,97.8,84.1,89.2,b,False,84.1
1891,15,other,public,post graduate,3.4,67.1,yes,30-60 min,no,coaching,47.6,75.6,51.9,62.0,d,False,47.6
1892,15,male,public,diploma,4.1,52.4,yes,15-30 min,no,mixed,48.3,54.4,69.8,60.4,d,False,48.3
1893,19,male,private,diploma,2.8,93.2,yes,30-60 min,no,mixed,53.7,48.9,41.3,54.2,e,False,53.7
1894,18,female,public,high school,3.3,83.8,yes,30-60 min,no,notes,58.6,32.6,31.8,50.1,e,False,58.6
1895,14,female,private,phd,2.2,97.8,yes,30-60 min,yes,mixed,64.7,48.8,49.0,54.4,e,False,64.7
1896,19,other,public,diploma,0.7,90.0,no,<15 min,yes,group study,37.8,42.0,58.4,39.1,f,False,37.8
1897,17,male,public,post graduate,3.6,78.0,yes,15-30 min,no,notes,74.3,66.0,64.8,54.1,e,False,74.3
1898,19,male,public,graduate,4.0,73.0,yes,>60 min,yes,textbook,57.6,64.9,77.2,62.3,d,False,57.6
1899,18,male,public,phd,6.3,97.3,yes,15-30 min,no,textbook,86.1,100.0,100.0,97.6,a,False,86.1
1900,16,other,private,graduate,4.4,71.2,yes,15-30 min,no,group study,50.9,44.7,52.1,54.7,e,False,50.9
1901,17,other,public,phd,2.9,77.2,no,>60 min,no,coaching,48.1,39.1,58.6,59.3,d,False,48.1
1902,17,other,private,post graduate,4.0,66.7,yes,15-30 min,no,online videos,47.5,63.9,48.3,51.2,e,False,47.5
1903,18,female,public,no formal,6.5,64.0,yes,15-30 min,yes,coaching,82.3,91.4,71.5,84.6,c,False,82.3
1904,15,male,public,no formal,4.1,92.3,yes,<15 min,yes,online videos,91.5,83.9,64.0,75.0,c,False,91.5
1905,15,other,private,post graduate,4.7,62.4,yes,15-30 min,yes,textbook,54.9,49.1,71.7,64.7,d,False,54.9
1906,15,male,private,no formal,1.8,57.2,yes,<15 min,no,textbook,65.3,37.6,37.6,44.6,e,False,65.3
1907,15,male,private,high school,0.6,86.4,no,>60 min,yes,coaching,47.4,34.3,44.4,43.6,e,False,47.4
1908,14,other,public,post graduate,7.5,92.1,yes,>60 min,yes,notes,100.0,96.3,89.4,100.0,a,False,100.0
1909,14,female,public,diploma,2.5,96.4,yes,30-60 min,no,notes,69.6,67.0,56.8,60.5,d,False,69.6
1910,19,male,public,high school,3.1,83.4,yes,30-60 min,yes,coaching,46.7,60.9,57.3,51.9,e,False,46.7
1911,14,female,public,high school,1.4,67.4,yes,30-60 min,yes,group study,34.9,43.9,21.2,37.9,f,False,34.9
1912,19,male,private,high school,4.3,75.5,yes,15-30 min,yes,online videos,58.6,53.1,59.5,59.8,d,False,58.6
1913,14,male,public,phd,6.0,59.3,yes,<15 min,yes,textbook,77.0,79.5,86.2,80.2,c,False,77.0
1914,18,other,private,diploma,5.6,60.6,yes,<15 min,yes,mixed,81.5,69.5,64.9,65.2,d,False,81.5
1915,15,male,public,phd,6.9,94.8,yes,30-60 min,no,mixed,91.6,82.2,85.4,95.0,b,False,91.6
1916,17,other,private,post graduate,2.6,92.4,yes,30-60 min,yes,mixed,37.5,51.7,56.4,56.0,d,False,37.5
1917,15,female,public,high school,2.9,63.9,yes,<15 min,yes,textbook,38.4,39.4,26.9,40.5,e,False,38.4
1918,16,female,public,no formal,7.7,69.0,yes,>60 min,no,notes,81.5,86.2,81.9,83.6,c,False,81.5
1919,16,other,public,phd,3.9,97.9,yes,<15 min,yes,group study,61.3,67.4,54.0,63.5,d,False,61.3
1920,17,female,public,phd,6.8,69.6,yes,15-30 min,no,mixed,81.3,64.3,73.2,80.4,c,False,81.3
1921,16,male,public,no formal,5.1,66.4,yes,<15 min,yes,online videos,69.7,53.9,85.6,66.8,d,False,69.7
1922,17,other,private,high school,1.9,60.0,yes,30-60 min,no,group study,50.0,22.3,46.2,34.6,f,False,50.0
1923,18,female,public,post graduate,7.7,70.4,yes,15-30 min,no,group study,100.0,100.0,100.0,97.5,a,False,100.0
1924,16,female,private,phd,2.9,68.2,yes,>60 min,yes,notes,21.1,32.9,46.0,42.2,e,False,21.1
1925,16,female,private,phd,5.3,86.7,no,30-60 min,no,online videos,64.6,69.3,80.1,75.7,c,False,64.6
1926,14,female,private,high school,2.4,67.3,yes,15-30 min,yes,notes,33.9,20.0,37.0,37.3,f,False,33.9
1927,16,female,private,phd,4.8,72.9,yes,15-30 min,yes,group study,78.1,78.0,68.9,71.1,c,False,78.1
1928,14,other,private,post graduate,4.6,66.1,yes,>60 min,no,mixed,63.8,59.6,54.3,60.3,d,False,63.8
1929,15,male,private,diploma,2.5,66.0,no,>60 min,yes,textbook,42.9,72.1,54.0,53.3,e,False,42.9
1930,19,female,public,diploma,7.9,62.6,yes,15-30 min,no,online videos,99.5,64.2,80.9,93.0,b,False,99.5
1931,14,female,public,post graduate,1.6,74.9,yes,>60 min,no,textbook,46.0,26.4,41.2,39.9,f,False,46.0
1932,16,female,private,phd,3.8,71.5,yes,<15 min,no,group study,79.0,71.9,80.2,68.0,d,False,79.0
1933,19,male,public,phd,0.7,52.9,yes,>60 min,yes,coaching,23.6,46.1,34.5,28.3,f,False,23.6
1934,19,female,private,diploma,5.6,96.5,yes,>60 min,yes,coaching,87.6,67.6,81.8,80.4,c,False,87.6
1935,14,male,private,high school,4.0,67.4,yes,15-30 min,no,textbook,59.5,36.3,40.9,56.8,d,False,59.5
1936,14,female,public,phd,4.7,87.9,yes,>60 min,yes,mixed,61.4,75.6,71.7,76.6,c,False,61.4
1937,16,other,public,high school,5.7,95.3,yes,15-30 min,no,notes,91.1,75.3,100.0,82.6,c,False,91.1
1938,17,female,public,post graduate,6.2,50.6,yes,<15 min,no,mixed,73.5,75.3,74.7,72.8,c,False,73.5
1939,19,other,public,graduate,7.7,56.2,yes,15-30 min,no,textbook,85.8,96.5,70.3,79.4,c,False,85.8
1940,15,female,private,graduate,7.0,59.5,yes,30-60 min,no,mixed,52.1,68.7,75.1,74.1,c,False,52.1
1941,14,male,private,high school,2.9,94.3,yes,15-30 min,yes,textbook,61.4,60.2,66.0,62.9,d,False,61.4
1942,15,female,public,high school,6.0,77.3,yes,30-60 min,yes,notes,69.2,72.2,75.4,75.4,c,False,69.2
1943,19,male,public,graduate,1.1,65.5,yes,>60 min,no,textbook,53.8,47.3,44.2,41.9,e,False,53.8
1944,14,other,private,high school,1.5,52.2,yes,>60 min,no,online videos,37.4,38.7,32.2,40.0,f,False,37.4
1945,16,other,public,post graduate,3.9,51.8,yes,30-60 min,no,mixed,49.1,39.0,66.1,48.5,e,False,49.1
